epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,timestamp
1,2.296304,0.354439,1.612416,0.497413,1.00e-04,2025-10-21 15:02:03
2,1.536434,0.539934,1.278510,0.602846,1.00e-04,2025-10-21 15:04:14
3,1.197188,0.628580,1.133953,0.631307,1.00e-04,2025-10-21 15:06:27
4,0.950155,0.703842,1.003463,0.690815,1.00e-04,2025-10-21 15:08:41
5,0.766061,0.758814,0.945556,0.710867,1.00e-04,2025-10-21 15:10:55
6,0.628972,0.798748,0.899095,0.728978,1.00e-04,2025-10-21 15:13:09
7,0.508859,0.834005,0.903236,0.740621,1.00e-04,2025-10-21 15:15:22
8,0.411145,0.864657,0.891521,0.745149,1.00e-04,2025-10-21 15:17:36
9,0.349315,0.884660,0.892438,0.752911,1.00e-04,2025-10-21 15:19:50
10,0.294464,0.902936,0.907856,0.752911,1.00e-04,2025-10-21 15:22:04
11,0.267716,0.913872,0.907542,0.768435,1.00e-04,2025-10-21 15:24:18
12,0.227098,0.925025,0.918222,0.770375,1.00e-04,2025-10-21 15:26:32
13,0.203696,0.931357,0.929440,0.770375,1.00e-04,2025-10-21 15:28:46
14,0.179877,0.942078,0.937725,0.774903,1.00e-04,2025-10-21 15:30:59
15,0.165409,0.943877,0.938307,0.783959,1.00e-04,2025-10-21 15:33:14
16,0.157514,0.949777,0.953791,0.778137,1.00e-04,2025-10-21 15:35:28
17,0.144755,0.953518,1.000599,0.773609,1.00e-04,2025-10-21 15:37:42
18,0.138008,0.953662,1.013814,0.780724,1.00e-04,2025-10-21 15:39:56
19,0.131151,0.957764,1.015703,0.787193,1.00e-04,2025-10-21 15:42:09
20,0.118498,0.962009,0.992885,0.789780,1.00e-04,2025-10-21 15:44:24
